1, 549.000000, An apple mobile which is nothing like apple, smartphones
2, 899.000000, SIM-Free, Model A19211 6.5-inch Super Retina HD display with OLED technology A12 Bionic chip with ..., smartphones
3, 1249.000000, Samsung's new variant which goes beyond Galaxy to the Universe, smartphones
4, 280.000000, OPPO F19 is officially announced on April 2021., smartphones
5, 499.000000, Huawei’s re-badged P30 Pro New Edition was officially unveiled yesterday in Germany and now the device has made its way to the UK., smartphones
6, 1749.000000, MacBook Pro 2021 with mini-LED display may launch between September, November, laptops
7, 1499.000000, Samsung Galaxy Book S (2020) Laptop With Intel Lakefield Chip, 8GB of RAM Launched, laptops
8, 1499.000000, Style and speed. Stand out on HD video calls backed by Studio Mics. Capture ideas on the vibrant touchscreen., laptops
9, 1099.000000, Infinix Inbook X1 Ci3 10th 8GB 256GB 14 Win10 Grey – 1 Year Warranty, laptops
10, 1099.000000, HP Pavilion 15-DK1056WM Gaming Laptop 10th Gen Core i5, 8GB, 256GB SSD, GTX 1650 4GB, Windows 10, laptops
11, 13.000000, Mega Discount, Impression of Acqua Di Gio by GiorgioArmani concentrated attar perfume Oil, fragrances
12, 40.000000, Royal_Mirage Sport Brown Perfume for Men & Women - 120ml, fragrances
13, 13.000000, Product details of Best Fog Scent Xpressio Perfume 100ml For Men cool long lasting perfumes for Men, fragrances
14, 120.000000, Original Al Munakh® by Mahal Al Musk | Our Impression of Climate | 6ml Non-Alcoholic Concentrated Perfume Oil, fragrances
15, 30.000000, Genuine  Al-Rehab spray perfume from UAE/Saudi Arabia/Yemen High Quality, fragrances
16, 19.000000, L'OrÃ©al Paris introduces Hyaluron Expert Replumping Serum formulated with 1.5% Hyaluronic Acid, skincare
17, 12.000000, Tea tree oil contains a number of compounds, including terpinen-4-ol, that have been shown to kill certain bacteria,, skincare
18, 40.000000, Dermive Oil Free Moisturizer with SPF 20 is specifically formulated with ceramides, hyaluronic acid & sunscreen., skincare
19, 46.000000, Product name: rorec collagen hyaluronic acid white face serum riceNet weight: 15 m, skincare
20, 70.000000, Fair & Clear is Pakistan's only pure Freckle cream which helpsfade Freckles, Darkspots and pigments. Mercury level is 0%, so there are no side effects., skincare
21, 20.000000, Fine quality Branded Product Keep in a cool and dry place, groceries
22, 14.000000, Product details of Bake Parlor Big Elbow Macaroni - 400 gm, groceries
23, 14.000000, Specifications of Orange Essence Food Flavour For Cakes and Baking Food Item, groceries
24, 46.000000, original fauji cereal muesli 250gm box pack original fauji cereals muesli fruit nuts flakes breakfast cereal break fast faujicereals cerels cerel foji fouji, groceries
25, 70.000000, Dry Rose Flower Powder Gulab Powder 50 Gram • Treats Wounds, groceries
26, 41.000000, Boho Decor Plant Hanger For Home Wall Decoration Macrame Wall Hanging Shelf, home-decoration
27, 51.000000, Package Include 6 Birds with Adhesive Tape Shape: 3D Shaped Wooden Birds Material: Wooden MDF, Laminated 3.5mm, home-decoration
28, 20.000000, 3D led lamp sticker Wall sticker 3d wall art light on/off button  cell operated (included), home-decoration
29, 60.000000, Handcraft Chinese style art luxury palace hotel villa mansion home decor ceramic vase with brass fruit plate, home-decoration
30, 30.000000, Attractive DesignMetallic materialFour key hooksReliable & DurablePremium Quality, home-decoration
